"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0035094","0","06/01/2018","04:43:49","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","419 ","1 or 2 family dwelling                            ","218     ","  ","BROOKS                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035097","0","06/01/2018","05:32:39","600 ","Good intent call, Other                           ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","963 ","Street or road in commercial area                 ","        ","  ","NEPTUNE                  ","  ","RD  ","                                        ","  ","BENNINGTON               ","  ","ST  "
"18-0035100","0","06/01/2018","06:09:10","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","10      ","  ","HIGH                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035103","0","06/01/2018","06:28:04","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","41      ","  ","MCGREEVEY                ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0035104","0","06/01/2018","06:41:39","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","HP             ","Hyde Park                                         ","02126     ","960 ","Street, Other                                     ","830     ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035105","0","06/01/2018","06:48:34","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","460 ","Dormitory-type residence, other                   ","1       ","  ","CLIFFMONT                ","  ","ST  ",": @BHA-ROSLYN APTS                      ","  ","                         ","  ","    "
"18-0035107","0","06/01/2018","07:14:22","600 ","Good intent call, Other                           ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","152     ","  ","SAVANNAH                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035110","0","06/01/2018","07:35:30","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","276     ","  ","HANOVER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035114","0","06/01/2018","08:03:59","140 ","Natural vegetation fire, Other                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","938 ","Graded and cared-for plots of land                ","66      ","  ","HUDSON                   ","  ","ST  ",": @BLDG-ONE GREENWAY                    ","  ","                         ","  ","    "
"18-0035115","0","06/01/2018","08:06:38","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","75      ","  ","PETERBOROUGH             ","  ","ST  ",": #AFA7702                              ","  ","                         ","  ","    "
"18-0035116","0","06/01/2018","08:10:13","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","599 ","Business office                                   ","295     ","  ","FREEPORT                 ","  ","ST  ",": @BOSTON POLICE PATROLMANS ASSN - 295 F","  ","                         ","  ","    "
"18-0035119","0","06/01/2018","08:29:20","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","100 ","Assembly, Other                                   ","24      ","  ","SCHOOL                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035120","0","06/01/2018","08:54:26","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","32      ","  ","GROVE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035121","0","06/01/2018","09:11:05","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","599 ","Business office                                   ","200     ","  ","STATE                    ","  ","ST  ",": #15-1296                              ","  ","                         ","  ","    "
"18-0035125","0","06/01/2018","09:31:35","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","71      ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035126","0","06/01/2018","09:34:38","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","40      ","  ","BLOSSOM                  ","  ","ST  ",": #MGH53                                ","  ","                         ","  ","    "
"18-0035127","0","06/01/2018","09:41:58","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","000 ","Property Use, Other                               ","40      ","  ","SMITH                    ","  ","ST  ",": @SCH-TOBIN K-8                        ","  ","                         ","  ","    "
"18-0035128","0","06/01/2018","09:43:14","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","54      ","  ","DIGHTON                  ","  ","ST  ",": @SCH-WINSHIP ELEMENTARY               ","  ","                         ","  ","    "
"18-0035129","0","06/01/2018","09:53:06","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","144     ","  ","QUINCY                   ","  ","ST  ",": #1783                                 ","  ","                         ","  ","    "
"18-0035130","0","06/01/2018","09:55:22","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","449 ","Hotel/motel, commercial                           ","1       ","  ","AVENUE DE LAFAYETTE      ","  ","    ",": #13-1463                              ","  ","                         ","  ","    "
"18-0035131","0","06/01/2018","10:04:37","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","334     ","  ","MASSACHUSETTS            ","  ","AVE ",": @SYMPHONY PLAZA EAST                  ","  ","                         ","  ","    "
"18-0035132","0","06/01/2018","10:11:49","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","49      ","  ","WYCLIFF                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035134","0","06/01/2018","10:18:17","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","449 ","Hotel/motel, commercial                           ","14      ","  ","DAVID G MUGAR            ","  ","WAY ",": @HOTEL-JOHN JEFFRIES HOUSE - 14 DAVID ","  ","                         ","  ","    "
"18-0035137","0","06/01/2018","10:43:15","511 ","Lock-out                                          ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","258     ","  ","COREY                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035138","0","06/01/2018","10:44:24","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","    ","","39      ","  ","BOYLSTON                 ","  ","ST  ",": @SHELTER-ST FRANCIS HOUSE             ","  ","                         ","  ","    "
"18-0035139","0","06/01/2018","10:49:09","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","73      ","  ","BAY STATE                ","  ","RD  ",": @COL-TRUSTEES OF BOSTON UNIVERSITY - 7","  ","                         ","  ","    "
"18-0035142","0","06/01/2018","10:52:28","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","161 ","Restaurant or cafeteria                           ","429     ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035144","0","06/01/2018","11:06:37","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","460 ","Dormitory-type residence, other                   ","275     ","  ","BROOKLINE                ","  ","AVE ",": @COL-SIMMONS-MORSE RESIDENCE HALL     ","  ","                         ","  ","    "
"18-0035146","0","06/01/2018","11:17:59","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","133     ","  ","AMES                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035152","0","06/01/2018","11:38:41","551 ","Assist police or other governmental agency        ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","900 ","Outside or special property, Other                ","        ","  ","WESTMINSTER              ","  ","ST  ","                                        ","  ","HUNTINGTON               ","  ","AVE "
"18-0035153","0","06/01/2018","11:59:35","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","47-55   ","  ","HAMMOND                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035157","0","06/01/2018","12:07:48","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","24      ","E ","SPRINGFIELD              ","  ","ST  ",": #WYN2837                              ","  ","                         ","  ","    "
"18-0035159","0","06/01/2018","12:15:55","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","174 ","Rapid transit station                             ","121     ","  ","TREMONT                  ","  ","ST  ",": @MBTA STA-PARK ST                     ","  ","                         ","  ","    "
"18-0035165","0","06/01/2018","12:33:19","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","19      ","  ","STANIFORD                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035169","0","06/01/2018","12:49:29","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","213 ","Elementary school, including kindergarten         ","302     ","  ","WALNUT                   ","  ","AVE ",": #13-2291                              ","  ","                         ","  ","    "
"18-0035170","0","06/01/2018","12:51:54","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","79      ","  ","HOWARD                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035171","0","06/01/2018","12:52:50","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","500 ","Mercantile, business, Other                       ","100     ","  ","ATLANTIC                 ","  ","AVE ",": @JOES AMERICAN BAR & GRILL - 100 ATLAN","  ","                         ","  ","    "
"18-0035173","0","06/01/2018","13:05:40","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","412     ","  ","MARKET                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035174","0","06/01/2018","13:06:54","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","278     ","E ","COTTAGE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035175","0","06/01/2018","13:10:29","554 ","Assist invalid                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","26      ","  ","PALMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035177","0","06/01/2018","13:14:08","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","524     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035182","0","06/01/2018","13:27:18","621 ","Wrong location                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","2343    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035190","0","06/01/2018","13:45:25","424 ","Carbon monoxide incident                          ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","4       ","  ","EMERSON                  ","  ","PL  ","                                        ","  ","                         ","  ","    "
"18-0035192","0","06/01/2018","13:52:04","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","337     ","W ","SECOND                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035194","0","06/01/2018","13:58:15","444 ","Power line down                                   ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","960 ","Street, Other                                     ","17      ","  ","TRENTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035195","0","06/01/2018","14:00:26","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","331 ","Hospital - medical or psychiatric                 ","1400    ","  ","VFW                      ","  ","PKWY",": #12-2881                              ","  ","                         ","  ","    "
"18-0035196","0","06/01/2018","14:06:29","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","960 ","Street, Other                                     ","        ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","WOODROW                  ","  ","AVE "
"18-0035198","0","06/01/2018","14:08:23","511 ","Lock-out                                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","419 ","1 or 2 family dwelling                            ","34      ","  ","SALINA                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0035202","0","06/01/2018","14:32:00","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","900 ","Outside or special property, Other                ","        ","  ","PARKER                   ","  ","ST  ","                                        ","  ","TREMONT                  ","  ","ST  "
"18-0035203","0","06/01/2018","14:43:27","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1234    ","  ","SOLDIERS FIELD           ","  ","RD  ",": #12-5271                              ","  ","                         ","  ","    "
"18-0035204","0","06/01/2018","14:52:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","1461    ","  ","BLUE HILL                ","  ","AVE ",": #AFA8249                              ","  ","                         ","  ","    "
"18-0035205","0","06/01/2018","14:54:13","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","331 ","Hospital - medical or psychiatric                 ","2100    ","  ","DORCHESTER               ","  ","AVE ",": #12-3456                              ","  ","                         ","  ","    "
"18-0035207","0","06/01/2018","14:56:23","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","962 ","Residential street, road or residential driveway  ","4       ","  ","ALMONT                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035208","0","06/01/2018","15:03:26","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","    ","","        ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","HEREFORD                 ","  ","ST  "
"18-0035209","0","06/01/2018","15:07:44","600 ","Good intent call, Other                           ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","770     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035211","0","06/01/2018","15:13:07","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","962 ","Residential street, road or residential driveway  ","        ","  ","MARTIN LUTHER KING JR    ","  ","BLVD",": alias MLK BLVD/HUMBOLDT AVE RX BSTN   ","  ","HUMBOLDT                 ","  ","AVE "
"18-0035212","0","06/01/2018","15:18:52","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","12      ","  ","OAKHURST                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035214","0","06/01/2018","15:19:39","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","449 ","Hotel/motel, commercial                           ","1234    ","  ","SOLDIERS FIELD           ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0035215","0","06/01/2018","15:22:00","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","    ","","        ","  ","ATLANTIC                 ","  ","AVE ","                                        ","  ","CROSS                    ","  ","ST  "
"18-0035216","0","06/01/2018","15:23:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","460 ","Dormitory-type residence, other                   ","227     ","  ","RIVER                    ","  ","ST  ",": #WYN4345                              ","  ","                         ","  ","    "
"18-0035217","0","06/01/2018","15:25:54","622 ","No Incident found on arrival at dispatch address  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","600     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035219","0","06/01/2018","15:30:46","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","419 ","1 or 2 family dwelling                            ","55      ","  ","GATES                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035222","0","06/01/2018","15:40:29","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","29      ","  ","SAGAMORE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035223","0","06/01/2018","15:42:03","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","33      ","  ","BLOSSOM                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035225","0","06/01/2018","15:46:01","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","962 ","Residential street, road or residential driveway  ","9       ","  ","CAROLINA                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035229","0","06/01/2018","16:06:41","400 ","Hazardous condition, Other                        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","963 ","Street or road in commercial area                 ","1905    ","  ","CENTRE                   ","  ","ST  ",": @ROCKLAND TRUST - 1905 CENTRE ST, WEST","  ","                         ","  ","    "
"18-0035232","0","06/01/2018","16:14:16","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","100 ","Assembly, Other                                   ","20      ","  ","WEST                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035233","0","06/01/2018","16:14:39","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","174 ","Rapid transit station                             ","73      ","  ","SEAPORT                  ","  ","BLVD",": @MBTA STA-COURTHOUSE                  ","  ","                         ","  ","    "
"18-0035235","0","06/01/2018","16:17:27","142 ","Brush or brush-and-grass mixture fire             ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","963 ","Street or road in commercial area                 ","1645    ","  ","DORCHESTER               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035236","0","06/01/2018","16:18:07","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","460 ","Dormitory-type residence, other                   ","92-106  ","  ","FAWNDALE                 ","  ","RD  ",": #WYN3220                              ","  ","                         ","  ","    "
"18-0035240","0","06/01/2018","16:23:36","424 ","Carbon monoxide incident                          ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","243     ","  ","LEXINGTON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035243","0","06/01/2018","16:39:55","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","        ","  ","TOPEKA                   ","  ","ST  ","                                        ","  ","SOUTHAMPTON              ","  ","ST  "
"18-0035248","0","06/01/2018","16:47:08","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","963 ","Street or road in commercial area                 ","        ","  ","GORDON                   ","  ","ST  ","                                        ","  ","CAMBRIDGE                ","  ","ST  "
"18-0035250","0","06/01/2018","16:51:05","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","900 ","Outside or special property, Other                ","1350    ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035252","0","06/01/2018","16:55:36","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","43      ","  ","GREEN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035253","0","06/01/2018","17:06:02","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","460 ","Dormitory-type residence, other                   ","24-36   ","  ","HORADAN                  ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0035254","0","06/01/2018","17:06:11","552 ","Police matter                                     ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","        ","  ","TOPEKA                   ","  ","ST  ","                                        ","  ","SOUTHAMPTON              ","  ","ST  "
"18-0035257","0","06/01/2018","17:27:41","900T","BFD Drill                                         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","940 ","Water area, Other                                 ","50      ","  ","BATTERY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035258","0","06/01/2018","17:33:01","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","466     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035261","0","06/01/2018","17:40:53","551 ","Assist police or other governmental agency        ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","960 ","Street, Other                                     ","5       ","  ","FESSENDEN                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035263","0","06/01/2018","17:46:42","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","963 ","Street or road in commercial area                 ","2       ","  ","TERRACE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035264","0","06/01/2018","17:47:28","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","117     ","  ","HEATH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0035265","0","06/01/2018","17:48:18","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","962 ","Residential street, road or residential driveway  ","3       ","  ","FORT                     ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035266","0","06/01/2018","17:52:34","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","1865    ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0035267","0","06/01/2018","17:54:15","700 ","False alarm or false call, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","215 ","High school/junior high school/middle school      ","152     ","  ","ARLINGTON                ","  ","ST  ",": #13-1523                              ","  ","                         ","  ","    "
"18-0035269","0","06/01/2018","18:00:21","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","855     ","  ","BOYLSTON                 ","  ","ST  ",": #15-1573                              ","  ","                         ","  ","    "
"18-0035270","0","06/01/2018","18:01:05","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","963 ","Street or road in commercial area                 ","        ","  ","WESTERN                  ","  ","AVE ","                                        ","  ","BATTEN                   ","  ","WAY "
"18-0035271","0","06/01/2018","18:03:36","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","15      ","E ","SPRINGFIELD              ","  ","ST  ","                                        ","  ","                         ","  ","    "
