"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0065287","0","10/01/2018","03:12:54","500 ","Service Call, other                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","22      ","  ","WELLINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065288","0","10/01/2018","03:14:05","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","247     ","  ","MAVERICK                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065289","0","10/01/2018","03:34:08","700 ","False alarm or false call, Other                  ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","311 ","24-hour care Nursing homes, 4 or more persons     ","5060    ","  ","WASHINGTON               ","  ","ST  ",": @LTC-ROSCOMMON WEST ROXBURY EXTENDED C","  ","                         ","  ","    "
"18-0065290","0","10/01/2018","03:50:01","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","20      ","  ","JOY                      ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065291","0","10/01/2018","03:54:47","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","331 ","Hospital - medical or psychiatric                 ","1153    ","  ","CENTRE                   ","  ","ST  ",": #13-271                               ","  ","                         ","  ","    "
"18-0065292","0","10/01/2018","04:24:56","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","1744-175","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065293","0","10/01/2018","04:35:24","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","963 ","Street or road in commercial area                 ","191-199 ","  ","HARVARD                  ","  ","AVE ",": #12-514                               ","  ","                         ","  ","    "
"18-0065294","0","10/01/2018","04:43:49","118 ","Trash or rubbish fire, contained                  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","400 ","Residential, Other                                ","45      ","  ","BROOKLEDGE               ","  ","ST  ",": #AFA7633                              ","  ","                         ","  ","    "
"18-0065295","0","10/01/2018","05:13:38","461 ","Building or structure weakened or collapsed       ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","419 ","1 or 2 family dwelling                            ","60      ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065297","0","10/01/2018","05:48:51","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","464 ","Barracks, dormitory                               ","39      ","  ","BOYLSTON                 ","  ","ST  ",": #13-1471                              ","  ","                         ","  ","    "
"18-0065299","0","10/01/2018","05:49:40","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","        ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","GERARD                   ","  ","ST  "
"18-0065304","0","10/01/2018","06:32:18","554 ","Assist invalid                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","429 ","Multifamily dwelling                              ","34      ","  ","FRANCIS                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065305","0","10/01/2018","06:43:01","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","960 ","Street, Other                                     ","115     ","  ","UNION                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065307","0","10/01/2018","07:00:53","460 ","Accident, potential accident, Other               ","0.0000","0.0000","12   ","JP             ","Jamaica Plain                                     ","02131     ","963 ","Street or road in commercial area                 ","3880    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065308","0","10/01/2018","07:15:18","151 ","Outside rubbish, trash or waste fire              ","0.0000","50.0000","07   ","DO             ","Dorchester                                        ","02121     ","900 ","Outside or special property, Other                ","335     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065309","0","10/01/2018","07:27:56","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","700 ","Manufacturing, processing                         ","35      ","  ","POMPEII                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065311","0","10/01/2018","07:35:51","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","963 ","Street or road in commercial area                 ","11      ","  ","AVENUE DE LAFAYETTE      ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0065312","0","10/01/2018","07:36:43","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","400 ","Residential, Other                                ","944     ","  ","PARKER                   ","  ","ST  ",": #12-2394                              ","  ","                         ","  ","    "
"18-0065313","0","10/01/2018","07:41:48","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02120     ","UUU ","Undetermined                                      ","2001    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065315","0","10/01/2018","07:50:24","554 ","Assist invalid                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","80      ","  ","MASON                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065316","0","10/01/2018","08:09:47","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","519 ","Food and beverage sales, grocery store            ","942     ","  ","HYDE PARK                ","  ","AVE ",": @AMERICAS FOOD BASKET - 942 HYDE PARK ","  ","                         ","  ","    "
"18-0065317","0","10/01/2018","08:11:09","550 ","Public service assistance, Other                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","460 ","Dormitory-type residence, other                   ","120     ","  ","BOYLSTON                 ","  ","ST  ",": @COL-EMERSON COLLEGE-ACADEMIC DEPT - 1","  ","                         ","  ","    "
"18-0065319","0","10/01/2018","08:13:46","511 ","Lock-out                                          ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","962 ","Residential street, road or residential driveway  ","30      ","  ","WALLINGFORD              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065320","0","10/01/2018","08:14:42","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","174 ","Rapid transit station                             ","135-143 ","  ","CAUSEWAY                 ","  ","ST  ",": @RR-NORTH STATION                     ","  ","                         ","  ","    "
"18-0065321","0","10/01/2018","08:26:01","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1868    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065322","0","10/01/2018","08:39:57","551 ","Assist police or other governmental agency        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","400 ","Residential, Other                                ","260     ","  ","COREY                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065323","0","10/01/2018","08:43:17","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","    ","","        ","  ","GERARD                   ","  ","ST  ","                                        ","  ","MASSACHUSETTS            ","  ","AVE "
"18-0065324","0","10/01/2018","08:44:10","410 ","Combustible/flammable gas/liquid condition, other ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","95      ","  ","MORELAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065325","0","10/01/2018","08:45:29","900 ","Special type of incident, Other                   ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","    50  ","  ","BATTERY                  ","  ","ST  ",": @BOSTON HARBOR - INNER (MYSTIC-TOBIN B","  ","                         ","  ","    "
"18-0065328","0","10/01/2018","08:47:06","500 ","Service Call, other                               ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","50      ","  ","BATTERY                  ","  ","ST  ",": @BOSTON HARBOR - INNER (MYSTIC-TOBIN B","  ","                         ","  ","    "
"18-0065329","0","10/01/2018","08:50:11","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","26      ","  ","THOMSON                  ","  ","PL  ","                                        ","  ","                         ","  ","    "
"18-0065330","0","10/01/2018","08:56:39","154 ","Dumpster or other outside trash receptacle fire   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","965 ","Vehicle parking area                              ","367     ","  ","DUDLEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065332","0","10/01/2018","08:59:43","553 ","Public service                                    ","0.0000","0.0000","06   ","BO             ","Boston                                            ","02110     ","960 ","Street, Other                                     ","125     ","  ","PURCHASE                 ","  ","ST  ",": @BFD ENG 10                           ","  ","                         ","  ","    "
"18-0065336","0","10/01/2018","09:27:03","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","161 ","Restaurant or cafeteria                           ","22-26   ","W ","BROADWAY                 ","  ","    ",": #INS1202                              ","  ","                         ","  ","    "
"18-0065337","0","10/01/2018","09:28:11","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","71-77   ","  ","KINGSDALE                ","  ","ST  ",": #AFA7834                              ","  ","                         ","  ","    "
"18-0065339","0","10/01/2018","09:29:13","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","519 ","Food and beverage sales, grocery store            ","942     ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065340","0","10/01/2018","09:39:12","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","850     ","  ","HARRISON                 ","  ","AVE ",": @HOSP-BMCH AMBUL NO                   ","  ","                         ","  ","    "
"18-0065341","0","10/01/2018","09:45:01","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","215 ","High school/junior high school/middle school      ","174     ","  ","IPSWICH                  ","  ","ST  ",": #12-234                               ","  ","                         ","  ","    "
"18-0065344","0","10/01/2018","09:57:14","551 ","Assist police or other governmental agency        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","400 ","Residential, Other                                ","67      ","  ","BILLINGS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065345","0","10/01/2018","10:01:28","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","213 ","Elementary school, including kindergarten         ","94      ","  ","SAINT ALPHONSUS          ","  ","ST  ",": @SCH-MISSION GRAMMAR SCHOOL           ","  ","                         ","  ","    "
"18-0065346","0","10/01/2018","10:12:40","111 ","Building fire                                     ","15000.0000","5000.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","26      ","  ","SAINT MARKS              ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065347","0","10/01/2018","10:19:06","511 ","Lock-out                                          ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","419 ","1 or 2 family dwelling                            ","17      ","  ","ALBION                   ","  ","PL  ","                                        ","  ","                         ","  ","    "
"18-0065349","0","10/01/2018","10:30:30","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","965 ","Vehicle parking area                              ","199     ","  ","THIRTEENTH               ","  ","ST  ",": @BNHP-PARKING GARAGE / BLDG 199       ","  ","                         ","  ","    "
"18-0065350","0","10/01/2018","10:32:23","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","84      ","  ","SAINT BRENDAN            ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065351","0","10/01/2018","10:32:38","900A","FIU activity  (not covered by other inc types)    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","000 ","Property Use, Other                               ","240     ","  ","MEDFORD                  ","  ","ST  ",": @SCH-CHARLESTOWN HIGH SCHOOL          ","  ","                         ","  ","    "
"18-0065352","0","10/01/2018","10:32:41","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","169     ","  ","I                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065353","0","10/01/2018","10:38:14","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","45      ","  ","ROBESON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065354","0","10/01/2018","10:42:02","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","419 ","1 or 2 family dwelling                            ","18      ","  ","WORTHINGTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065356","0","10/01/2018","10:48:26","424 ","Carbon monoxide incident                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","161 ","Restaurant or cafeteria                           ","75      ","  ","KNEELAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065358","0","10/01/2018","10:57:01","551 ","Assist police or other governmental agency        ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","400 ","Residential, Other                                ","1208-B  ","  ","VFW                      ","  ","PKWY","                                        ","  ","                         ","  ","    "
"18-0065359","0","10/01/2018","10:58:58","600 ","Good intent call, Other                           ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","141 ","Athletic/health club                              ","420     ","  ","WEST                     ","  ","ST  ",": @PARK-GEORGE WRIGHT GOLF COURSE       ","  ","                         ","  ","    "
"18-0065361","0","10/01/2018","11:10:52","550 ","Public service assistance, Other                  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","900 ","Outside or special property, Other                ","1154    ","  ","WILLIAM T MORRISSEY      ","  ","BLVD",": @CIR-NEPONSET CIRCLE                  ","  ","                         ","  ","    "
"18-0065362","0","10/01/2018","11:11:02","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","331 ","Hospital - medical or psychiatric                 ","1153    ","  ","CENTRE                   ","  ","ST  ",": #13-271                               ","  ","                         ","  ","    "
"18-0065364","0","10/01/2018","11:13:42","900T","BFD Drill                                         ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","50      ","  ","BATTERY                  ","  ","ST  ",": @BOSTON HARBOR - INNER (MYSTIC-TOBIN B","  ","                         ","  ","    "
"18-0065365","0","10/01/2018","11:14:12","500 ","Service Call, other                               ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","50      ","  ","BATTERY                  ","  ","ST  ",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ","  ","                         ","  ","    "
"18-0065368","0","10/01/2018","11:22:45","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","500 ","Mercantile, business, Other                       ","865     ","  ","AMERICAN LEGION          ","  ","HWY ","                                        ","  ","                         ","  ","    "
"18-0065369","0","10/01/2018","11:25:19","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","    ","","        ","  ","HAMMOND                  ","  ","ST  ","                                        ","  ","SHAWMUT                  ","  ","AVE "
"18-0065370","0","10/01/2018","11:28:02","551 ","Assist police or other governmental agency        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","419 ","1 or 2 family dwelling                            ","84      ","  ","LEONARD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065372","0","10/01/2018","11:38:38","900T","BFD Drill                                         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","900 ","Outside or special property, Other                ","392     ","  ","HANOVER                  ","  ","ST  ",": @BFD ENG 8                            ","  ","                         ","  ","    "
"18-0065374","0","10/01/2018","11:45:18","522 ","Water or steam leak                               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","331 ","Hospital - medical or psychiatric                 ","45      ","  ","SHATTUCK                 ","  ","ST  ",": #HAR368                               ","  ","                         ","  ","    "
"18-0065380","0","10/01/2018","12:15:28","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","260-262 ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065382","0","10/01/2018","12:21:26","650 ","Steam, Other gas mistaken for smoke, Other        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","449 ","Hotel/motel, commercial                           ","250     ","  ","FRANKLIN                 ","  ","ST  ",": #12-1284                              ","  ","                         ","  ","    "
"18-0065383","0","10/01/2018","12:28:53","553 ","Public service                                    ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","963 ","Street or road in commercial area                 ","        ","  ","FRONTAGE                 ","  ","RD  ","                                        ","  ","SOUTHAMPTON              ","  ","ST  "
"18-0065385","0","10/01/2018","12:45:36","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","43      ","  ","GLENVILLE                ","  ","AVE ",": #INS651                               ","  ","                         ","  ","    "
"18-0065386","0","10/01/2018","12:58:37","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","95      ","  ","MORELAND                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065387","0","10/01/2018","13:03:01","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","    ","","108     ","  ","KILMARNOCK               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065388","0","10/01/2018","13:04:12","900 ","Special type of incident, Other                   ","0.0000","0.0000","03   ","               ","","00000     ","900 ","Outside or special property, Other                ","50      ","  ","BATTERY                  ","  ","ST  ",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ","  ","                         ","  ","    "
"18-0065389","0","10/01/2018","13:05:33","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","449 ","Hotel/motel, commercial                           ","200     ","  ","BOYLSTON                 ","  ","ST  ",": #12-153                               ","  ","                         ","  ","    "
"18-0065390","0","10/01/2018","13:09:44","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","961     ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065393","0","10/01/2018","13:27:03","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","580 ","General retail, Other                             ","700     ","  ","AMERICAN LEGION          ","  ","HWY ","                                        ","  ","                         ","  ","    "
"18-0065394","0","10/01/2018","13:31:19","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","451     ","  ","D                        ","  ","ST  ",": #14-712                               ","  ","                         ","  ","    "
"18-0065396","0","10/01/2018","13:39:58","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","131 ","Church, mosque, synagogue, temple, chapel         ","186     ","  ","CHESTNUT HILL            ","  ","AVE ",": @YUSUF MOSQUE INC - 186 CHESTNUT HILL ","  ","                         ","  ","    "
"18-0065397","0","10/01/2018","13:49:28","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","66      ","  ","CANAL                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065403","0","10/01/2018","14:50:20","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","960 ","Street, Other                                     ","10      ","  ","SUMMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065404","0","10/01/2018","14:52:55","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","100 ","Assembly, Other                                   ","655     ","  ","DORCHESTER               ","  ","AVE ",": @CH-ST MARYS OUR LADY-CZENSTOCHOWA - 6","  ","                         ","  ","    "
"18-0065407","0","10/01/2018","15:09:33","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","109     ","  ","MOUNT PLEASANT           ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065408","0","10/01/2018","15:21:26","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","419 ","1 or 2 family dwelling                            ","9       ","  ","LEAMINGTON               ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0065409","0","10/01/2018","15:33:15","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","12   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","157-159 ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0065410","0","10/01/2018","15:45:04","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","26      ","  ","MONTROSE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065413","0","10/01/2018","16:17:11","553 ","Public service                                    ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","500 ","Mercantile, business, Other                       ","11      ","W ","BROADWAY                 ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0065418","0","10/01/2018","16:41:20","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","73      ","  ","MYRTLE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065419","0","10/01/2018","16:43:48","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","900 ","Outside or special property, Other                ","        ","  ","SAINT ALPHONSUS          ","  ","ST  ",": alias ST ALPHONSUS ST/TREMONT ST RX BS","  ","TREMONT                  ","  ","ST  "
"18-0065421","0","10/01/2018","16:53:11","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","429 ","Multifamily dwelling                              ","144     ","  ","MINOT                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065423","0","10/01/2018","17:07:21","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","73      ","  ","MYRTLE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065424","0","10/01/2018","17:13:33","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","500 ","Mercantile, business, Other                       ","65      ","  ","CAUSEWAY                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065425","0","10/01/2018","17:19:47","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","429 ","Multifamily dwelling                              ","770     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0065426","0","10/01/2018","17:36:46","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","500 ","Mercantile, business, Other                       ","225     ","  ","FRANKLIN                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
