"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0057714","0","09/01/2018","01:54:01","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","322 ","Alcohol or substance abuse recovery center        ","170     ","  ","MORTON                   ","  ","ST  ",": @SHATTUCK SHELTER - 170 MORTON ST, JAM","  ","                         ","  ","    "
"18-0057716","0","09/01/2018","02:17:45","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","400 ","Residential, Other                                ","17      ","  ","DR. MARY MOORE BEATTY    ","  ","CIR ","                                        ","  ","                         ","  ","    "
"18-0057717","0","09/01/2018","02:19:22","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","        ","  ","VASSAR                   ","  ","ST  ","                                        ","  ","RIPLEY                   ","  ","RD  "
"18-0057718","0","09/01/2018","02:19:37","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","181     ","W ","NINTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057719","0","09/01/2018","02:24:11","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","               ","","02134     ","900 ","Outside or special property, Other                ","        ","  ","BOSTON UNIVERSITY        ","  ","BRG ",": @BR-BU                                ","  ","                         ","  ","    "
"18-0057720","0","09/01/2018","02:26:20","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","    ","","2       ","  ","FANEUIL HALL MARKETPLACE ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0057721","0","09/01/2018","03:01:26","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","24      ","  ","BELLFLOWER               ","  ","ST  ",": @BHA-BELLFLOWER STREET                ","  ","                         ","  ","    "
"18-0057722","0","09/01/2018","03:08:35","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","963 ","Street or road in commercial area                 ","        ","  ","BROOKLINE                ","  ","AVE ",": #2356                                 ","  ","FRANCIS                  ","  ","ST  "
"18-0057723","0","09/01/2018","03:31:19","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","UUU ","Undetermined                                      ","102     ","  ","CRESTWOOD                ","  ","PARK","                                        ","  ","                         ","  ","    "
"18-0057724","0","09/01/2018","03:32:24","552 ","Police matter                                     ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","519 ","Food and beverage sales, grocery store            ","870     ","  ","MASSACHUSETTS            ","  ","AVE ",": @MCDONALDS - 870 MASSACHUSETTS AVE, RO","  ","                         ","  ","    "
"18-0057726","0","09/01/2018","04:19:24","552 ","Police matter                                     ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","511 ","Convenience store                                 ","1187    ","  ","HYDE PARK                ","  ","AVE ",": @TEDESCHI FOOD SHOPS - 1187 HYDE PARK ","  ","                         ","  ","    "
"18-0057727","0","09/01/2018","04:36:12","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","400 ","Residential, Other                                ","352     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057729","0","09/01/2018","05:21:55","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","48      ","  ","MERCER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057732","0","09/01/2018","07:16:36","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02215     ","200 ","Educational, Other                                ","820     ","  ","COMMONWEALTH             ","  ","AVE ",": alias 820 COMM                        ","  ","                         ","  ","    "
"18-0057733","0","09/01/2018","07:21:09","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","58      ","  ","COLORADO                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057734","0","09/01/2018","07:42:19","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02163     ","200 ","Educational, Other                                ","53      ","  ","HARVARD                  ","  ","WAY ",": #HAR445                               ","  ","                         ","  ","    "
"18-0057735","0","09/01/2018","07:42:37","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","962 ","Residential street, road or residential driveway  ","5       ","  ","CLARKEN                  ","  ","CT  ","                                        ","  ","                         ","  ","    "
"18-0057737","0","09/01/2018","07:44:40","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","352     ","  ","MASSACHUSETTS            ","  ","AVE ",": @LTC-SUSAN BAILIS ASSISTED LIVING COMM","  ","                         ","  ","    "
"18-0057739","0","09/01/2018","08:02:40","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","400 ","Residential, Other                                ","15      ","  ","BICKNELL                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057741","0","09/01/2018","09:05:20","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","938 ","Graded and cared-for plots of land                ","450     ","  ","WALNUT                   ","  ","AVE ",": @PARK-WHITE STADIUM                   ","  ","                         ","  ","    "
"18-0057742","0","09/01/2018","09:12:54","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","334     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057743","0","09/01/2018","09:19:08","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","52-58   ","  ","FRANKLIN HILL            ","  ","AVE ",": #AFA7933                              ","  ","                         ","  ","    "
"18-0057747","0","09/01/2018","09:33:20","500 ","Service Call, other                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","100     ","  ","LEGENDS                  ","  ","WAY ",": @BLDG-TD GARDEN                       ","  ","                         ","  ","    "
"18-0057748","0","09/01/2018","09:35:49","522 ","Water or steam leak                               ","0.0000","0.0000","08   ","HP             ","Hyde Park                                         ","02126     ","429 ","Multifamily dwelling                              ","837     ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057749","0","09/01/2018","09:39:05","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","211     ","  ","NEWBURY                  ","  ","ST  ",": #WYN3815                              ","  ","                         ","  ","    "
"18-0057751","0","09/01/2018","09:49:14","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","962 ","Residential street, road or residential driveway  ","230     ","  ","SHAWMUT                  ","  ","AVE ",": @PARK-PETER'S PARK                    ","  ","                         ","  ","    "
"18-0057754","0","09/01/2018","10:04:35","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","400 ","Residential, Other                                ","130     ","  ","CALUMET                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057756","0","09/01/2018","10:06:52","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","HAMPDEN                  ","  ","ST  ","                                        ","  ","MELNEA CASS              ","  ","BLVD"
"18-0057757","0","09/01/2018","10:10:37","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","35      ","  ","BELLVISTA                ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0057759","0","09/01/2018","10:12:35","162 ","Outside equipment fire                            ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","963 ","Street or road in commercial area                 ","        ","  ","RIVER                    ","  ","ST  ","                                        ","  ","CENTRAL                  ","  ","AVE "
"18-0057761","0","09/01/2018","10:21:38","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","429 ","Multifamily dwelling                              ","889     ","  ","HARRISON                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057762","0","09/01/2018","10:24:06","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","35      ","  ","BELLVISTA                ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0057763","0","09/01/2018","10:24:18","553 ","Public service                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","960 ","Street, Other                                     ","520     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057764","0","09/01/2018","10:37:17","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","131     ","  ","ZEIGLER                  ","  ","ST  ",": #CLM413                               ","  ","                         ","  ","    "
"18-0057765","0","09/01/2018","10:48:34","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","439 ","Boarding/rooming house, residential hotels        ","570     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057766","0","09/01/2018","10:50:28","551 ","Assist police or other governmental agency        ","0.0000","0.0000","03   ","               ","","02109     ","941 ","Open ocean, sea or tidal waters                   ","        ","  ","INNER HARBOR             ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0057767","0","09/01/2018","10:51:02","621 ","Wrong location                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","963 ","Street or road in commercial area                 ","105     ","  ","CHAUNCY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057768","0","09/01/2018","10:53:32","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","334     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057770","0","09/01/2018","10:58:53","552 ","Police matter                                     ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","900 ","Outside or special property, Other                ","25      ","  ","FID KENNEDY              ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057771","0","09/01/2018","10:59:47","900 ","Special type of incident, Other                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","88      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057773","0","09/01/2018","11:07:23","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","    ","","4236    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057775","0","09/01/2018","11:18:56","511 ","Lock-out                                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","36      ","  ","IRMA                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057776","0","09/01/2018","11:21:26","511 ","Lock-out                                          ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","962 ","Residential street, road or residential driveway  ","60      ","  ","FAIRMOUNT                ","  ","AVE ",": @BFD LAD 28                           ","  ","                         ","  ","    "
"18-0057778","0","09/01/2018","11:24:33","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","9       ","  ","WEYANOKE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057782","0","09/01/2018","11:44:49","500 ","Service Call, other                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","965 ","Vehicle parking area                              ","10      ","  ","NECCO                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057784","0","09/01/2018","11:53:52","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","300 ","Health care, detention, & correction, Other       ","474     ","  ","TALBOT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057787","0","09/01/2018","11:55:35","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","900 ","Outside or special property, Other                ","67      ","  ","ANAWAN                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057788","0","09/01/2018","11:55:55","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","72      ","  ","WESTLAND                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057789","0","09/01/2018","12:02:06","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","429 ","Multifamily dwelling                              ","50      ","  ","MONUMENT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057790","0","09/01/2018","12:02:41","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","331 ","Hospital - medical or psychiatric                 ","15-19   ","  ","KNEELAND                 ","  ","ST  ",": #16-148                               ","  ","                         ","  ","    "
"18-0057792","0","09/01/2018","12:14:07","550 ","Public service assistance, Other                  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","185     ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057794","0","09/01/2018","12:25:26","511 ","Lock-out                                          ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","47      ","  ","B                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057798","0","09/01/2018","12:48:28","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","644 ","Gas distribution, gas pipeline                    ","275     ","  ","DORCHESTER               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057800","0","09/01/2018","12:50:37","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","400 ","Residential, Other                                ","463     ","  ","RUTHERFORD               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057801","0","09/01/2018","12:52:52","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","439 ","Boarding/rooming house, residential hotels        ","326     ","  ","SHAWMUT                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057804","0","09/01/2018","12:59:54","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","    ","","110     ","  ","PETERBOROUGH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057807","0","09/01/2018","13:04:41","714 ","Central station, malicious false alarm            ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","160 ","Eating, drinking places, other                    ","107A    ","  ","PORTER                   ","  ","ST  ",": #WYN2694                              ","  ","                         ","  ","    "
"18-0057809","0","09/01/2018","13:18:43","500 ","Service Call, other                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","882 ","Parking garage, general vehicle                   ","25      ","  ","FID KENNEDY              ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057811","0","09/01/2018","13:22:17","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","119A    ","  ","HOLTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057813","0","09/01/2018","13:35:40","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1607    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057814","0","09/01/2018","13:37:29","500 ","Service Call, other                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","490     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057816","0","09/01/2018","13:42:38","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","04   ","               ","","02120     ","429 ","Multifamily dwelling                              ","        ","  ","TREMONT                  ","  ","ST  ",": EST 3 ROXSE DR RX BSTN                ","  ","DEAD END                 ","  ","    "
"18-0057819","0","09/01/2018","13:45:45","511 ","Lock-out                                          ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","18      ","  ","POTOMAC                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057820","0","09/01/2018","13:55:22","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","490     ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057822","0","09/01/2018","13:58:28","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","03   ","               ","","02110     ","963 ","Street or road in commercial area                 ","        ","  ","COMMERCIAL               ","  ","ST  ",": @GREENWAY CAROUSEL                    ","  ","                         ","  ","    "
"18-0057825","0","09/01/2018","14:11:55","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","331 ","Hospital - medical or psychiatric                 ","1       ","  ","DEACONESS                ","  ","RD  ",": @BETH ISRAEL DEACONESS MEDICAL CENTER ","  ","                         ","  ","    "
"18-0057826","0","09/01/2018","14:19:10","553 ","Public service                                    ","0.0000","0.0000","07   ","               ","","02125     ","961 ","Highway or divided highway                        ","00      ","  ","93 South Exit 24 A/B     ","  ","    ",": @EX-SB I93 AT BOSTON GLOBE            ","  ","                         ","  ","    "
"18-0057827","0","09/01/2018","14:21:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","439 ","Boarding/rooming house, residential hotels        ","10      ","  ","OXFORD                   ","  ","ST  ",": #SIM912                               ","  ","                         ","  ","    "
"18-0057829","0","09/01/2018","14:30:51","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","NNN ","None                                              ","27      ","  ","BOWDOIN                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057830","0","09/01/2018","14:31:56","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","        ","  ","DALE                     ","  ","ST  ","                                        ","  ","WALNUT                   ","  ","AVE "
"18-0057832","0","09/01/2018","14:41:04","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","963 ","Street or road in commercial area                 ","53      ","  ","STATE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057833","0","09/01/2018","14:43:22","113 ","Cooking fire, confined to container               ","500.0000","1000.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","160     ","  ","COMMONWEALTH             ","  ","AVE ",": #CLM313                               ","  ","                         ","  ","    "
"18-0057834","0","09/01/2018","14:44:54","400 ","Hazardous condition, Other                        ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","64      ","  ","MONSIGNOR PATRICK J. LYDO","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0057836","0","09/01/2018","14:53:23","553 ","Public service                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","900 ","Outside or special property, Other                ","85      ","  ","SOUTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057837","0","09/01/2018","14:54:33","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","571 ","Service station, gas station                      ","1000    ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057838","0","09/01/2018","14:56:43","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","400 ","Residential, Other                                ","1825-184","  ","WASHINGTON               ","  ","ST  ",": #CLM241                               ","  ","                         ","  ","    "
"18-0057839","0","09/01/2018","15:01:34","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","3-19    ","  ","WARDMAN                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0057840","0","09/01/2018","15:02:40","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","MASSACHUSETTS            ","  ","AVE ",": alias MASSACHUSETTS AVE/CASS BLVD RX B","  ","MELNEA CASS              ","  ","BLVD"
"18-0057845","0","09/01/2018","15:18:21","551 ","Assist police or other governmental agency        ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","962 ","Residential street, road or residential driveway  ","63      ","  ","SENATOR BOLLING          ","  ","CIR ","                                        ","  ","                         ","  ","    "
"18-0057846","0","09/01/2018","15:29:14","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","100 ","Assembly, Other                                   ","1322    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0057847","0","09/01/2018","15:33:19","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","93      ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0057848","0","09/01/2018","15:34:36","500 ","Service Call, other                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","962 ","Residential street, road or residential driveway  ","127     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
