"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0014243","0","03/01/2018","07:09:00","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","84      ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0014244","0","03/01/2018","07:09:09","500 ","Service Call, other                               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","960 ","Street, Other                                     ","        ","  ","AVILA                    ","  ","RD  ","                                        ","  ","RIVER                    ","  ","ST  "
"18-0014245","0","03/01/2018","07:14:58","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02122     ","639 ","Communications center                             ","175     ","  ","ADAMS                    ","  ","ST  ",": #18-3148                              ","  ","                         ","  ","    "
"18-0014246","0","03/01/2018","07:20:29","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","599 ","Business office                                   ","374     ","  ","CONGRESS                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014247","0","03/01/2018","07:24:31","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","965 ","Vehicle parking area                              ","25      ","  ","TIBBETT'S TOWN           ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0014248","0","03/01/2018","07:27:40","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","    ","","321     ","  ","CENTRE                   ","  ","ST  ",": @LTC-SAINT JOSEPH NURSING AND REHABILI","  ","                         ","  ","    "
"18-0014250","0","03/01/2018","07:36:37","442 ","Overheated motor                                  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","114 ","Ice rink: indoor, outdoor                         ","1       ","  ","LEGENDS                  ","  ","WAY ",": #13-1313                              ","  ","                         ","  ","    "
"18-0014251","0","03/01/2018","07:45:22","641 ","Vicinity alarm (incident in other location)       ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","962 ","Residential street, road or residential driveway  ","        ","  ","REVERE                   ","  ","ST  ","                                        ","W ","CEDAR                    ","  ","ST  "
"18-0014254","0","03/01/2018","07:54:18","410 ","Combustible/flammable gas/liquid condition, other ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","112     ","  ","REVERE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014255","0","03/01/2018","08:04:20","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","500 ","Mercantile, business, Other                       ","63      ","  ","SPRAGUE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014258","0","03/01/2018","08:39:18","714 ","Central station, malicious false alarm            ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","511 ","Convenience store                                 ","90      ","  ","RIVER                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014259","0","03/01/2018","08:56:31","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02215     ","960 ","Street, Other                                     ","        ","  ","COMMONWEALTH             ","  ","AVE ",": alias COMM AVE/BU BRIDGE BR BSTN      ","  ","BOSTON UNIVERSITY        ","  ","BRG "
"18-0014263","0","03/01/2018","09:09:31","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","400 ","Residential, Other                                ","86      ","  ","WHITE                    ","  ","ST  ",": #12-6182                              ","  ","                         ","  ","    "
"18-0014264","0","03/01/2018","09:11:52","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","363 ","Reformatory, juvenile detention center            ","1125    ","  ","CENTRE                   ","  ","ST  ",": #13-2496                              ","  ","                         ","  ","    "
"18-0014268","0","03/01/2018","09:45:53","900T","BFD Drill                                         ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","NNN ","None                                              ","1       ","  ","ATWOOD                   ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0014270","0","03/01/2018","09:48:05","900 ","Special type of incident, Other                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","84      ","  ","NONANTUM                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0014273","0","03/01/2018","09:59:38","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","449 ","Hotel/motel, commercial                           ","101     ","  ","HARBORSIDE               ","  ","DR  ",": @HOTEL-HYATT-BOSTON HARBOR - 101 HARBO","  ","                         ","  ","    "
"18-0014275","0","03/01/2018","10:04:59","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","900 ","Outside or special property, Other                ","780     ","  ","ALBANY                   ","  ","ST  ",": #PAT5195                              ","  ","                         ","  ","    "
"18-0014276","0","03/01/2018","10:14:55","714 ","Central station, malicious false alarm            ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","00000     ","400 ","Residential, Other                                ","890     ","  ","COMMONWEALTH             ","  ","AVE ",": #BU425                                ","  ","                         ","  ","    "
"18-0014277","0","03/01/2018","10:26:03","142 ","Brush or brush-and-grass mixture fire             ","0.0000","0.0000","11   ","               ","","02215     ","961 ","Highway or divided highway                        ","        ","  ","I90 WB                   ","  ","    ",": @EX-WB I90 AT COMMONWEALTH AVE BR     ","  ","                         ","  ","    "
"18-0014278","0","03/01/2018","10:26:42","900 ","Special type of incident, Other                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","254 ","Day care, in commercial property                  ","48      ","  ","RUTLAND                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014280","0","03/01/2018","10:37:54","900 ","Special type of incident, Other                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","80      ","W ","DEDHAM                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014282","0","03/01/2018","10:52:15","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","400 ","Residential, Other                                ","374     ","  ","COMMONWEALTH             ","  ","AVE ",": #WYN2589                              ","  ","                         ","  ","    "
"18-0014284","0","03/01/2018","11:01:29","142 ","Brush or brush-and-grass mixture fire             ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","900 ","Outside or special property, Other                ","35      ","  ","NEW HAVEN                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014285","0","03/01/2018","11:09:10","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","141     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014290","0","03/01/2018","11:25:45","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","1217A   ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014291","0","03/01/2018","11:40:42","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","        ","  ","LENOX                    ","  ","ST  ","                                        ","  ","SHAWMUT                  ","  ","AVE "
"18-0014293","0","03/01/2018","12:11:26","551 ","Assist police or other governmental agency        ","0.0000","0.0000","03   ","               ","","02109     ","941 ","Open ocean, sea or tidal waters                   ","        ","  ","INNER HARBOR             ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0014294","0","03/01/2018","12:26:39","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","500 ","Mercantile, business, Other                       ","552     ","  ","TREMONT                  ","  ","ST  ",": #WYN1336                              ","  ","                         ","  ","    "
"18-0014296","0","03/01/2018","12:33:47","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","        ","  ","CAUSEWAY                 ","  ","ST  ","                                        ","  ","BEVERLY                  ","  ","ST  "
"18-0014301","0","03/01/2018","12:54:02","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","300 ","Health care, detention, & correction, Other       ","77      ","  ","WARREN                   ","  ","ST  ",": #12-518                               ","  ","                         ","  ","    "
"18-0014304","0","03/01/2018","13:03:44","553 ","Public service                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","960 ","Street, Other                                     ","245     ","  ","CENTRE                   ","  ","ST  ",": @MBTA STA-JACKSON SQ                  ","  ","                         ","  ","    "
"18-0014307","0","03/01/2018","13:16:58","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","960 ","Street, Other                                     ","        ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","SCHOOL                   ","  ","ST  "
"18-0014309","0","03/01/2018","13:22:37","522 ","Water or steam leak                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","36      ","  ","RIVERDALE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014310","0","03/01/2018","13:22:49","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","794     ","  ","MASSACHUSETTS            ","  ","AVE ",": @HOSP-BMCM LAUNDRY                    ","  ","                         ","  ","    "
"18-0014312","0","03/01/2018","13:31:46","551 ","Assist police or other governmental agency        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","500 ","Mercantile, business, Other                       ","148     ","  ","STATE                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014313","0","03/01/2018","13:34:52","700 ","False alarm or false call, Other                  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","500 ","Mercantile, business, Other                       ","25      ","  ","DRY DOCK                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014314","0","03/01/2018","13:38:55","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","500 ","Mercantile, business, Other                       ","28      ","  ","TRAVIS                   ","  ","ST  ",": #HAR427                               ","  ","                         ","  ","    "
"18-0014316","0","03/01/2018","14:06:07","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","300 ","Health care, detention, & correction, Other       ","25      ","  ","HARVARD                  ","  ","ST  ",": #13-1481                              ","  ","                         ","  ","    "
"18-0014318","0","03/01/2018","14:15:01","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","30      ","  ","SUNNYSIDE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014320","0","03/01/2018","14:33:02","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","35      ","  ","BRUNSWICK                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014322","0","03/01/2018","14:45:05","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","449 ","Hotel/motel, commercial                           ","296     ","  ","STATE                    ","  ","ST  ",": @HOTEL-MARRIOTT-BOSTON LONG WHARF - 29","  ","                         ","  ","    "
"18-0014323","0","03/01/2018","14:45:26","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","89      ","  ","UNION PARK               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014326","0","03/01/2018","15:02:46","511 ","Lock-out                                          ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","900 ","Outside or special property, Other                ","        ","  ","FLEET                    ","  ","ST  ","                                        ","  ","HANOVER                  ","  ","ST  "
"18-0014327","0","03/01/2018","15:13:18","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","599 ","Business office                                   ","170     ","  ","MILK                     ","  ","ST  ",": #INS132                               ","  ","                         ","  ","    "
"18-0014328","0","03/01/2018","15:14:17","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","80      ","W ","NEWTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014333","0","03/01/2018","15:20:44","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","70      ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014334","0","03/01/2018","15:27:52","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","213 ","Elementary school, including kindergarten         ","61      ","  ","SCHOOL                   ","  ","ST  ",": @SCH-HERNANDEZ K-8                    ","  ","                         ","  ","    "
"18-0014337","0","03/01/2018","15:36:11","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","429 ","Multifamily dwelling                              ","2-5     ","  ","BATTERY                  ","  ","WHRF",": #15-1236                              ","  ","                         ","  ","    "
"18-0014338","0","03/01/2018","15:36:31","500 ","Service Call, other                               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","300     ","  ","SEAVER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014339","0","03/01/2018","15:43:53","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","80      ","W ","NEWTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014340","0","03/01/2018","15:45:26","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","203     ","  ","STRATTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014341","0","03/01/2018","15:45:32","554 ","Assist invalid                                    ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","965 ","Vehicle parking area                              ","80      ","  ","SOUTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014343","0","03/01/2018","15:57:26","500 ","Service Call, other                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","529 ","Textile, wearing apparel sales                    ","470     ","W ","BROADWAY                 ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0014346","0","03/01/2018","16:12:55","111 ","Building fire                                     ","50000.0000","5000.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","111     ","  ","FLAHERTY                 ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0014347","0","03/01/2018","16:13:57","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","174 ","Rapid transit station                             ","135-143 ","  ","CAUSEWAY                 ","  ","ST  ",": #33-1313                              ","  ","                         ","  ","    "
"18-0014351","0","03/01/2018","16:32:27","118 ","Trash or rubbish fire, contained                  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","3037    ","  ","WASHINGTON               ","  ","ST  ",": #INS796                               ","  ","                         ","  ","    "
"18-0014353","0","03/01/2018","16:35:44","553 ","Public service                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","400 ","Residential, Other                                ","225     ","  ","SUMNER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014356","0","03/01/2018","16:43:37","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","40-46   ","  ","WINTER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014359","0","03/01/2018","16:50:43","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","247-249 ","  ","CHESTNUT HILL            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014368","0","03/01/2018","17:25:05","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","108     ","  ","WELLES                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014370","0","03/01/2018","17:32:52","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","    ","","780     ","  ","ALBANY                   ","  ","ST  ",": @BARBARA MCINNIS HOUSE - 780 ALBANY ST","  ","                         ","  ","    "
"18-0014371","0","03/01/2018","17:33:46","554 ","Assist invalid                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","963 ","Street or road in commercial area                 ","        ","  ","GERARD                   ","  ","ST  ","                                        ","  ","MASSACHUSETTS            ","  ","AVE "
"18-0014374","0","03/01/2018","17:47:57","500 ","Service Call, other                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","429 ","Multifamily dwelling                              ","2       ","  ","CRESTON                  ","  ","PARK","                                        ","  ","                         ","  ","    "
"18-0014375","0","03/01/2018","17:48:12","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","    ","","800     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014376","0","03/01/2018","17:56:14","714 ","Central station, malicious false alarm            ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","161 ","Restaurant or cafeteria                           ","1918    ","  ","BEACON                   ","  ","ST  ",": @EAGLES DELI RESTAURANT - 1918 BEACON ","  ","                         ","  ","    "
"18-0014377","0","03/01/2018","18:08:07","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","500 ","Mercantile, business, Other                       ","100     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014382","0","03/01/2018","18:40:12","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","331 ","Hospital - medical or psychiatric                 ","1       ","  ","DEACONESS                ","  ","RD  ",": #17-2351                              ","  ","                         ","  ","    "
"18-0014383","0","03/01/2018","18:40:56","600 ","Good intent call, Other                           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","UUU ","Undetermined                                      ","536     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014384","0","03/01/2018","18:41:17","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","161 ","Restaurant or cafeteria                           ","49      ","  ","MELCHER                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014386","0","03/01/2018","18:43:37","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","162 ","Bar or nightclub                                  ","421     ","  ","CAMBRIDGE                ","  ","ST  ",": @LULUS ALLSTON - 421 CAMBRIDGE ST, BRI","  ","                         ","  ","    "
"18-0014388","0","03/01/2018","18:46:11","152 ","Garbage dump or sanitary landfill fire            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","900 ","Outside or special property, Other                ","528     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014391","0","03/01/2018","18:53:02","113 ","Cooking fire, confined to container               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","1       ","  ","OSWALD                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014397","0","03/01/2018","19:11:52","118 ","Trash or rubbish fire, contained                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","829     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014398","0","03/01/2018","19:14:27","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","110     ","  ","PETERBOROUGH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014401","0","03/01/2018","19:27:08","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","180     ","  ","BROOKLINE                ","  ","AVE ",": #CLM221                               ","  ","                         ","  ","    "
"18-0014403","0","03/01/2018","19:44:22","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","400 ","Residential, Other                                ","530     ","  ","BORDER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014404","0","03/01/2018","19:49:40","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","500 ","Mercantile, business, Other                       ","1815-183","  ","DORCHESTER               ","  ","AVE ",": #WYN2221                              ","  ","                         ","  ","    "
"18-0014405","0","03/01/2018","19:51:50","412 ","Gas leak (natural gas or LPG)                     ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02131     ","965 ","Vehicle parking area                              ","960     ","  ","AMERICAN LEGION          ","  ","HWY ","                                        ","  ","                         ","  ","    "
"18-0014406","0","03/01/2018","20:03:28","511 ","Lock-out                                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","576     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014408","0","03/01/2018","20:49:28","424 ","Carbon monoxide incident                          ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","419 ","1 or 2 family dwelling                            ","326     ","N ","HARVARD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014409","0","03/01/2018","20:55:26","652 ","Steam, vapor, fog or dust thought to be smoke     ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","8       ","  ","KENWOOD                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0014410","0","03/01/2018","21:06:05","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","960 ","Street, Other                                     ","        ","  ","MONTVALE                 ","  ","ST  ","                                        ","  ","IONA                     ","  ","ST  "
"18-0014411","0","03/01/2018","21:13:47","600 ","Good intent call, Other                           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","400 ","Residential, Other                                ","111     ","  ","FLAHERTY                 ","  ","WAY ","                                        ","  ","                         ","  ","    "
"18-0014413","0","03/01/2018","21:22:21","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","900 ","Outside or special property, Other                ","        ","  ","BLUE HILL                ","  ","AVE ",": #1781                                 ","  ","LAWRENCE                 ","  ","AVE "
"18-0014415","0","03/01/2018","21:34:50","551 ","Assist police or other governmental agency        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","429 ","Multifamily dwelling                              ","2047    ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0014416","0","03/01/2018","21:37:43","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","99      ","  ","KNEELAND                 ","  ","ST  ",": @BLDG- 1 GREENWAY - 99 KNEELAND ST, BO","  ","                         ","  ","    "
