"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"18-0008101","0","02/01/2018","06:06:44","714 ","Central station, malicious false alarm            ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","331 ","Hospital - medical or psychiatric                 ","320     ","  ","LONGWOOD                 ","  ","AVE ",": @HOSP-CHMC ENDERS                     ","  ","                         ","  ","    "
"18-0008102","0","02/01/2018","06:20:01","700 ","False alarm or false call, Other                  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","599 ","Business office                                   ","645     ","  ","SUMMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008104","0","02/01/2018","06:45:02","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","66      ","  ","BYRON                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008105","0","02/01/2018","06:46:31","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","24      ","  ","FENWAY                   ","  ","    ","                                        ","  ","                         ","  ","    "
"18-0008106","0","02/01/2018","06:48:08","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","4       ","  ","GWINNETT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008108","0","02/01/2018","06:58:20","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","316     ","  ","HUNTINGTON               ","  ","AVE ",": @YMCA-HUNTINGTON AVE YMCA - 316 HUNTIN","  ","                         ","  ","    "
"18-0008109","0","02/01/2018","07:08:54","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","599 ","Business office                                   ","160     ","  ","FEDERAL                  ","  ","ST  ",": #CLM365                               ","  ","                         ","  ","    "
"18-0008110","0","02/01/2018","07:20:23","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","333     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008113","0","02/01/2018","07:26:01","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","599 ","Business office                                   ","645     ","  ","SUMMER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008115","0","02/01/2018","07:40:08","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","151 ","Library                                           ","700     ","  ","BOYLSTON                 ","  ","ST  ",": @BPL-BOSTON PUBLIC LIBRARY            ","  ","                         ","  ","    "
"18-0008116","0","02/01/2018","07:43:17","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","BO             ","Boston                                            ","02110     ","429 ","Multifamily dwelling                              ","52-58   ","  ","EASTERN                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008117","0","02/01/2018","07:48:43","442 ","Overheated motor                                  ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02115     ","460 ","Dormitory-type residence, other                   ","450     ","  ","PARKER                   ","  ","ST  ",": #NEU345                               ","  ","                         ","  ","    "
"18-0008118","0","02/01/2018","08:02:50","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","161 ","Restaurant or cafeteria                           ","240     ","  ","COMMERCIAL               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008119","0","02/01/2018","08:03:17","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","    ","","240     ","  ","COMMERCIAL               ","  ","ST  ",": @BILLY TSE RESTAURANT - 240 COMMERCIAL","  ","                         ","  ","    "
"18-0008120","0","02/01/2018","08:17:57","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","419 ","1 or 2 family dwelling                            ","27      ","  ","ELLINGTON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008121","0","02/01/2018","08:21:16","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","117     ","  ","ORLEANS                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008124","0","02/01/2018","08:24:58","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","149     ","  ","WASHINGTON               ","  ","ST  ",": #12-5195                              ","  ","                         ","  ","    "
"18-0008125","0","02/01/2018","08:31:15","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","100 ","Assembly, Other                                   ","138-148 ","  ","SAINT JAMES              ","  ","AVE ",": #14-1561                              ","  ","                         ","  ","    "
"18-0008127","0","02/01/2018","08:34:59","113 ","Cooking fire, confined to container               ","0.0000","50.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1408    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008128","0","02/01/2018","08:37:52","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","243     ","  ","CHARLES                  ","  ","ST  ",": #14-1356                              ","  ","                         ","  ","    "
"18-0008132","0","02/01/2018","08:47:42","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","900 ","Outside or special property, Other                ","28      ","  ","WALLINGFORD              ","  ","RD  ",": #14-5331                              ","  ","                         ","  ","    "
"18-0008133","0","02/01/2018","08:53:36","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","460 ","Dormitory-type residence, other                   ","120     ","  ","BOYLSTON                 ","  ","ST  ",": @COL-EMERSON COLLEGE - 120 BOYLSTON ST","  ","                         ","  ","    "
"18-0008141","0","02/01/2018","09:48:41","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","211 ","Preschool                                         ","26      ","  ","WALES                    ","  ","ST  ",": #12-3396                              ","  ","                         ","  ","    "
"18-0008147","0","02/01/2018","10:14:38","111 ","Building fire                                     ","240000.0000","10000.0000","12   ","RS             ","Roslindale                                        ","02131     ","400 ","Residential, Other                                ","4360    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008148","0","02/01/2018","10:15:59","554 ","Assist invalid                                    ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","400 ","Residential, Other                                ","2       ","  ","MONSIGNOR ALBERT A. JACOB","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0008149","0","02/01/2018","10:16:12","511 ","Lock-out                                          ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","960 ","Street, Other                                     ","        ","  ","GREEN                    ","  ","ST  ","                                        ","  ","CENTRE                   ","  ","ST  "
"18-0008150","0","02/01/2018","10:19:22","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","500 ","Mercantile, business, Other                       ","3050    ","  ","WASHINGTON               ","  ","ST  ",": #WYN3742                              ","  ","                         ","  ","    "
"18-0008158","0","02/01/2018","11:05:47","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","213 ","Elementary school, including kindergarten         ","2222    ","  ","DORCHESTER               ","  ","AVE ",": #AFA1549                              ","  ","                         ","  ","    "
"18-0008160","0","02/01/2018","11:07:52","900A","FIU activity  (not covered by other inc types)    ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","200 ","Educational, Other                                ","515     ","  ","HYDE PARK                ","  ","AVE ",": @SCH-COUNSELING AND INTERVENTION CENTE","  ","                         ","  ","    "
"18-0008166","0","02/01/2018","11:19:15","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","254 ","Day care, in commercial property                  ","51      ","  ","QUINT                    ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008168","0","02/01/2018","11:22:03","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","254 ","Day care, in commercial property                  ","28      ","  ","HIGGINS                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008169","0","02/01/2018","11:25:58","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","311 ","24-hour care Nursing homes, 4 or more persons     ","259     ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0008170","0","02/01/2018","11:26:38","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","311 ","24-hour care Nursing homes, 4 or more persons     ","212     ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0008171","0","02/01/2018","11:27:18","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","311 ","24-hour care Nursing homes, 4 or more persons     ","204     ","  ","COREY                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"18-0008172","0","02/01/2018","11:29:20","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","419 ","1 or 2 family dwelling                            ","52      ","  ","PIEDMONT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008173","0","02/01/2018","11:30:14","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","254 ","Day care, in commercial property                  ","156     ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008174","0","02/01/2018","11:30:56","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","213 ","Elementary school, including kindergarten         ","26      ","  ","WARREN                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008175","0","02/01/2018","11:32:10","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","254 ","Day care, in commercial property                  ","2       ","  ","CAMBRIDGE                ","  ","TER ","                                        ","  ","                         ","  ","    "
"18-0008176","0","02/01/2018","11:32:41","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","213 ","Elementary school, including kindergarten         ","510     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008177","0","02/01/2018","11:33:12","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","213 ","Elementary school, including kindergarten         ","502     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008178","0","02/01/2018","11:33:42","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","254 ","Day care, in commercial property                  ","502     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008179","0","02/01/2018","11:34:10","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","211 ","Preschool                                         ","502     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008181","0","02/01/2018","11:37:13","500 ","Service Call, other                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","254 ","Day care, in commercial property                  ","429     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008183","0","02/01/2018","11:45:57","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","    ","","75      ","  ","BICKFORD                 ","  ","ST  ",": @HC-MARTHA ELIOT HEALTH CENTER        ","  ","                         ","  ","    "
"18-0008188","0","02/01/2018","11:55:06","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","419 ","1 or 2 family dwelling                            ","52      ","  ","PIEDMONT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008191","0","02/01/2018","12:08:54","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","460 ","Dormitory-type residence, other                   ","88      ","  ","HUDSON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008192","0","02/01/2018","12:10:52","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","642 ","Electrical distribution                           ","474     ","  ","BROOKLINE                ","  ","AVE ",": #15-2358                              ","  ","                         ","  ","    "
"18-0008194","0","02/01/2018","12:16:07","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","429 ","Multifamily dwelling                              ","58      ","  ","HEMENWAY                 ","  ","ST  ",": @WOODYS GRILL & TAP - 58 HEMENWAY ST, ","  ","                         ","  ","    "
"18-0008200","0","02/01/2018","12:43:00","143 ","Grass fire                                        ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","20      ","  ","SOMERSET                 ","  ","ST  ",": @METROPOLITAN DIST RECREATION - 20 SOM","  ","                         ","  ","    "
"18-0008203","0","02/01/2018","12:47:15","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1408    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008204","0","02/01/2018","12:50:13","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","NNN ","None                                              ","265     ","E ","EIGHTH                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008205","0","02/01/2018","12:55:20","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","961 ","Highway or divided highway                        ","1205    ","  ","VFW                      ","  ","PKWY",": @SCH-PARKWAY ACADEMY-TECHNOLOGY - 1205","  ","                         ","  ","    "
"18-0008206","0","02/01/2018","13:03:00","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","500 ","Mercantile, business, Other                       ","598     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008211","0","02/01/2018","13:31:40","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","429 ","Multifamily dwelling                              ","1120-113","  ","BOYLSTON                 ","  ","ST  ",": #13-1591                              ","  ","                         ","  ","    "
"18-0008213","0","02/01/2018","13:37:14","671 ","HazMat release investigation w/no HazMat          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","419 ","1 or 2 family dwelling                            ","150     ","  ","CHARLAME                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008214","0","02/01/2018","13:39:09","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","213 ","Elementary school, including kindergarten         ","94      ","  ","HORACE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008215","0","02/01/2018","13:43:46","413 ","Oil or other combustible liquid spill             ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","962 ","Residential street, road or residential driveway  ","        ","  ","AMERICAN LEGION          ","  ","HWY ","                                        ","  ","CUMMINS                  ","  ","HWY "
"18-0008216","0","02/01/2018","13:48:17","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","    ","","        ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","TALBOT                   ","  ","AVE "
"18-0008218","0","02/01/2018","13:54:58","113 ","Cooking fire, confined to container               ","0.0000","50.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","40      ","  ","WALLINGFORD              ","  ","RD  ",": #13-5331                              ","  ","                         ","  ","    "
"18-0008220","0","02/01/2018","13:58:53","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","250     ","  ","CAMBRIDGE                ","  ","ST  ",": #13-1354                              ","  ","                         ","  ","    "
"18-0008221","0","02/01/2018","14:05:56","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","965 ","Vehicle parking area                              ","136     ","  ","BLACKSTONE               ","  ","ST  ",": @PARCEL 7 PARKING GARAGE - 136 BLACKST","  ","                         ","  ","    "
"18-0008222","0","02/01/2018","14:07:04","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","331 ","Hospital - medical or psychiatric                 ","750     ","  ","WASHINGTON               ","  ","ST  ",": #13-148                               ","  ","                         ","  ","    "
"18-0008223","0","02/01/2018","14:09:07","442 ","Overheated motor                                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","429 ","Multifamily dwelling                              ","704-712 ","  ","BOYLSTON                 ","  ","ST  ",": #18-1572                              ","  ","                         ","  ","    "
"18-0008224","0","02/01/2018","14:13:20","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","    ","","78      ","  ","AVENUE LOUIS PASTEUR     ","  ","    ",": @SCH-BOSTON LATIN SCHOOL              ","  ","                         ","  ","    "
"18-0008225","0","02/01/2018","14:15:23","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","500 ","Mercantile, business, Other                       ","3050    ","  ","WASHINGTON               ","  ","ST  ",": #WYN3742                              ","  ","                         ","  ","    "
"18-0008227","0","02/01/2018","14:16:33","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","331 ","Hospital - medical or psychiatric                 ","440     ","  ","BROOKLINE                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008228","0","02/01/2018","14:21:24","511 ","Lock-out                                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","900 ","Outside or special property, Other                ","167     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008229","0","02/01/2018","14:25:29","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","    ","","700     ","  ","BOYLSTON                 ","  ","ST  ",": @BPL-BOSTON PUBLIC LIBRARY            ","  ","                         ","  ","    "
"18-0008236","0","02/01/2018","14:46:41","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","123     ","  ","ANTWERP                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008238","0","02/01/2018","14:57:17","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","15-27   ","  ","MYRTLE                   ","  ","ST  ",": #12-1364                              ","  ","                         ","  ","    "
"18-0008239","0","02/01/2018","14:58:34","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","326     ","  ","SHAWMUT                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008240","0","02/01/2018","15:11:35","714 ","Central station, malicious false alarm            ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02109     ","965 ","Vehicle parking area                              ","136     ","  ","BLACKSTONE               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008242","0","02/01/2018","15:15:10","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","85      ","E ","NEWTON                   ","  ","ST  ",": #12-1653                              ","  ","                         ","  ","    "
"18-0008245","0","02/01/2018","15:34:24","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","400 ","Residential, Other                                ","249     ","  ","RIVER                    ","  ","ST  ",": @LTC-THE FOLEY SENIOR RESIDENCES      ","  ","                         ","  ","    "
"18-0008246","0","02/01/2018","15:54:06","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","960 ","Street, Other                                     ","        ","  ","AUCKLAND                 ","  ","ST  ",": #1866                                 ","  ","BAY                      ","  ","ST  "
"18-0008249","0","02/01/2018","16:12:35","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","    ","","200     ","  ","NASHUA                   ","  ","ST  ",": @SUFF-SUFFOLK COUNTY JAIL             ","  ","                         ","  ","    "
"18-0008250","0","02/01/2018","16:13:51","730 ","System malfunction, Other                         ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02215     ","449 ","Hotel/motel, commercial                           ","342     ","  ","LONGWOOD                 ","  ","AVE ",": #16-2358                              ","  ","                         ","  ","    "
"18-0008251","0","02/01/2018","16:22:35","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","962 ","Residential street, road or residential driveway  ","14      ","  ","HILLSIDE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008252","0","02/01/2018","16:23:35","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","962 ","Residential street, road or residential driveway  ","110     ","  ","WALNUT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"18-0008253","0","02/01/2018","16:23:57","600 ","Good intent call, Other                           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","962 ","Residential street, road or residential driveway  ","28      ","  ","HILLSIDE                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008254","0","02/01/2018","16:24:43","400 ","Hazardous condition, Other                        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","962 ","Residential street, road or residential driveway  ","6       ","  ","BURR                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"18-0008255","0","02/01/2018","16:25:26","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","15      ","  ","PARKTON                  ","  ","RD  ","                                        ","  ","                         ","  ","    "
